"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
465,"T0","0.000000",1,3,4,2,4,4,1
466,"T2","1.000000",1,3,1.624,4,3.376,2.376,4
467,"T2","1.000000",3,1,0,0,2.376,0,0.624
468,"T1","1.000000",3,2,2.828,2.172,0,0,1.828
469,"T0","0.000000",2,2,4,4,1,4,4
470,"T1","1.000000",2,3,1.828,4,3.172,0.172,3.828
471,"T2","1.000000",3,2,2.624,0.376,0,3.376,1.624
472,"T1","1.000000",2,2,0,4,0.172,3.172,0
473,"T1","1.000000",2,1,0.828,2.172,3.172,1.172,0
474,"T1","1.000000",1,1,3.828,2.172,4,4,3.828
475,"T2","1.000000",3,3,3.624,0.376,0.376,2.376,0.624
476,"T0","0.000000",3,2,2,0,0,0,0
477,"T0","0.000000",2,2,0,3,3,4,1
478,"T1","1.000000",1,3,4,3.172,2.172,3.172,3.828
479,"T2","1.000000",3,3,3.624,1.376,0,0,0.624
480,"T0","0.000000",2,1,3,0,2,2,2
481,"T0","0.000000",1,3,3,4,2,4,3
482,"T0","0.000000",2,3,1,2,0,1,3
483,"T2","1.000000",1,1,2.624,3.376,1.376,3.376,0.624
484,"T0","0.000000",1,1,4,3,3,1,1
485,"T1","1.000000",1,3,4,3.172,3.172,3.172,4
486,"T2","1.000000",3,3,0.624,1.376,0,3.376,0
487,"T0","0.000000",2,3,4,1,3,2,1
488,"T0","0.000000",1,2,4,1,3,2,1
489,"T0","0.000000",2,1,0,2,4,1,1
490,"T2","1.000000",1,2,4,4,1.376,3.376,3.624
491,"T0","0.000000",2,2,1,2,3,1,1
492,"T0","0.000000",1,2,3,2,2,3,3
493,"T0","0.000000",3,3,4,4,1,0,2
494,"T0","0.000000",3,3,1,0,0,3,1
495,"T2","1.000000",1,3,4,3.376,4,4,1.624
496,"T1","1.000000",1,2,2.828,1.172,1.172,1.172,2.828
497,"T0","0.000000",2,1,2,2,1,3,2
498,"T2","1.000000",3,3,2.624,0.376,2.376,1.376,0
499,"T2","1.000000",2,2,0,1.376,2.376,3.376,1.624
500,"T2","1.000000",2,3,1.624,4,0.376,0.376,2.624
501,"T0","0.000000",3,1,0,0,0,2,3
502,"T2","1.000000",3,3,1.624,3.376,0,1.376,0.624
503,"T1","1.000000",1,2,4,4,1.172,4,2.828
504,"T0","0.000000",3,1,1,0,1,1,3
505,"T2","1.000000",2,2,3.624,4,0.376,0.376,0
506,"T2","1.000000",2,3,1.624,1.376,0.376,3.376,0.624
507,"T1","1.000000",2,3,3.828,1.172,3.172,2.172,1.828
508,"T2","1.000000",2,1,0,2.376,1.376,2.376,3.624
509,"T2","1.000000",2,2,3.624,4,0.376,1.376,0.624
510,"T2","1.000000",1,1,2.624,0.376,1.376,1.376,0.624
511,"T0","0.000000",2,2,2,4,1,4,4
512,"T0","0.000000",3,3,3,1,2,1,3
513,"T1","1.000000",2,3,1.828,2.172,4,0.172,1.828
514,"T0","0.000000",2,3,4,1,2,2,3
515,"T1","1.000000",3,3,0.828,0.172,3.172,1.172,1.828
516,"T1","1.000000",3,3,1.828,2.172,2.172,0,1.828
517,"T2","1.000000",2,3,0.624,2.376,2.376,3.376,0.624
518,"T2","1.000000",1,2,1.624,4,2.376,4,0.624
519,"T0","0.000000",3,3,2,4,3,0,3
520,"T2","1.000000",2,2,1.624,1.376,4,0.376,1.624
521,"T2","1.000000",3,3,0.624,1.376,1.376,0,0.624
522,"T1","1.000000",2,1,2.828,0,1.172,1.172,2.828
523,"T2","1.000000",2,2,1.624,0.376,1.376,0.376,0.624
524,"T2","1.000000",3,1,0.624,1.376,0,3.376,1.624
525,"T0","0.000000",1,1,1,2,4,4,2
526,"T2","1.000000",1,1,2.624,2.376,4,1.376,0.624
527,"T2","1.000000",1,2,0.624,1.376,4,2.376,3.624
528,"T0","0.000000",2,2,4,4,0,0,3
529,"T1","1.000000",2,2,3.828,3.172,3.172,3.172,0
530,"T0","0.000000",2,2,1,3,4,4,2
531,"T0","0.000000",3,2,0,3,2,3,0
532,"T2","1.000000",2,3,3.624,1.376,4,3.376,2.624
533,"T0","0.000000",3,2,0,3,0,0,2
534,"T1","1.000000",2,2,2.828,4,3.172,3.172,2.828
535,"T0","0.000000",2,2,4,1,3,0,4
536,"T1","1.000000",2,3,2.828,4,0.172,2.172,2.828
537,"T0","0.000000",1,1,4,2,1,4,1
538,"T1","1.000000",3,2,2.828,2.172,3.172,1.172,0
539,"T2","1.000000",1,2,3.624,1.376,4,2.376,4
540,"T1","1.000000",2,2,3.828,2.172,1.172,0.172,2.828
541,"T2","1.000000",1,1,1.624,2.376,4,2.376,1.624
542,"T2","1.000000",1,1,2.624,4,4,2.376,4
543,"T0","0.000000",2,2,2,2,0,4,2
544,"T1","1.000000",3,2,2.828,2.172,1.172,2.172,0
545,"T2","1.000000",1,1,2.624,4,4,4,1.624
546,"T0","0.000000",1,2,3,4,2,3,1
547,"T2","1.000000",2,3,3.624,3.376,4,0.376,1.624
548,"T1","1.000000",3,3,1.828,0.172,0,1.172,0
549,"T1","1.000000",1,3,2.828,3.172,2.172,4,2.828
550,"T1","1.000000",2,2,1.828,0.172,2.172,0.172,3.828
551,"T1","1.000000",1,1,3.828,3.172,3.172,4,0.828
552,"T1","1.000000",1,3,1.828,4,1.172,3.172,3.828
553,"T0","0.000000",2,2,3,4,4,1,2
554,"T2","1.000000",1,1,1.624,2.376,2.376,4,1.624
555,"T2","1.000000",3,2,0.624,0,2.376,1.376,0
556,"T2","1.000000",3,2,0,1.376,0,2.376,0
557,"T1","1.000000",2,3,3.828,1.172,4,3.172,2.828
558,"T1","1.000000",2,2,3.828,0.172,0.172,0.172,1.828
559,"T0","0.000000",2,2,3,4,2,3,4
560,"T2","1.000000",2,3,4,4,3.376,0.376,0
561,"T0","0.000000",2,3,2,4,2,2,0
562,"T0","0.000000",1,1,3,1,3,1,4
563,"T2","1.000000",1,2,2.624,4,1.376,4,2.624
564,"T0","0.000000",3,3,4,4,0,0,0
565,"T2","1.000000",1,2,1.624,4,1.376,4,4
566,"T1","1.000000",1,3,4,2.172,1.172,3.172,1.828
567,"T1","1.000000",2,3,1.828,4,2.172,3.172,0.828
568,"T2","1.000000",1,3,2.624,4,3.376,4,1.624
569,"T2","1.000000",1,3,3.624,4,4,1.376,2.624
570,"T2","1.000000",2,1,0.624,1.376,0.376,3.376,2.624
571,"T1","1.000000",2,3,1.828,1.172,4,4,0.828
572,"T0","0.000000",1,1,0,1,2,1,4
573,"T1","1.000000",3,3,1.828,2.172,0.172,3.172,0
574,"T1","1.000000",2,1,0,0,2.172,2.172,2.828
575,"T0","0.000000",2,3,4,1,0,3,3
576,"T2","1.000000",2,1,0.624,0.376,4,1.376,3.624
577,"T2","1.000000",1,2,0.624,4,4,3.376,0.624
578,"T0","0.000000",3,2,0,0,0,2,0
579,"T0","0.000000",3,2,0,0,1,1,3
580,"T1","1.000000",3,2,0,0,2.172,3.172,1.828
581,"T2","1.000000",1,2,4,4,4,2.376,2.624
582,"T2","1.000000",3,2,2.624,2.376,3.376,3.376,0
583,"T2","1.000000",2,2,0,1.376,3.376,1.376,0
584,"T2","1.000000",3,3,1.624,3.376,3.376,0,1.624
585,"T1","1.000000",1,3,4,4,1.172,4,3.828
586,"T1","1.000000",3,1,0,0,0.172,3.172,2.828
587,"T1","1.000000",1,2,1.828,4,4,4,2.828
588,"T2","1.000000",2,1,0,1.376,4,1.376,1.624
589,"T0","0.000000",2,2,0,0,4,2,0
590,"T2","1.000000",2,1,1.624,1.376,1.376,2.376,2.624
591,"T2","1.000000",3,3,0.624,2.376,0.376,0,1.624
592,"T0","0.000000",3,1,0,0,1,2,0
593,"T0","0.000000",1,1,3,0,4,2,2
594,"T1","1.000000",2,2,1.828,4,4,3.172,2.828
595,"T2","1.000000",1,2,1.624,3.376,4,3.376,4
596,"T1","1.000000",2,1,0,3.172,0.172,4,0
597,"T1","1.000000",3,3,0,4,3.172,2.172,0
598,"T0","0.000000",3,3,3,1,1,3,0
599,"T0","0.000000",2,1,0,0,0,0,1
600,"T2","1.000000",2,2,1.624,4,3.376,3.376,3.624
601,"T1","1.000000",3,2,2.828,0,0.172,2.172,1.828
602,"T1","1.000000",1,3,4,2.172,3.172,4,4
603,"T1","1.000000",2,2,3.828,1.172,4,1.172,0
604,"T1","1.000000",2,1,0,0.172,0.172,1.172,1.828
605,"T1","1.000000",2,3,0.828,4,3.172,2.172,3.828
606,"T2","1.000000",3,1,1.624,2.376,0,0,2.624
607,"T2","1.000000",2,3,2.624,4,4,0.376,1.624
608,"T0","0.000000",1,1,4,2,4,4,2
609,"T0","0.000000",3,2,0,3,0,1,0
610,"T1","1.000000",3,2,1.828,1.172,1.172,2.172,0.828
611,"T0","0.000000",2,3,2,3,2,4,3
612,"T0","0.000000",1,3,4,4,4,2,4
613,"T2","1.000000",3,3,0,1.376,0.376,2.376,0
614,"T0","0.000000",1,1,4,4,2,2,1
615,"T1","1.000000",2,2,1.828,3.172,1.172,3.172,1.828
616,"T2","1.000000",3,3,1.624,0.376,0,2.376,1.624
617,"T0","0.000000",3,1,1,1,1,0,3
618,"T0","0.000000",1,3,3,3,2,4,4
619,"T0","0.000000",1,3,4,3,2,1,4
620,"T1","1.000000",1,1,0.828,3.172,4,4,3.828
621,"T2","1.000000",3,3,1.624,3.376,0.376,2.376,1.624
622,"T2","1.000000",1,3,4,4,1.376,4,4
623,"T0","0.000000",3,3,3,2,0,1,0
624,"T0","0.000000",1,3,4,4,2,3,1
625,"T0","0.000000",1,2,3,4,4,4,2
626,"T2","1.000000",1,2,4,4,1.376,3.376,0.624
627,"T2","1.000000",2,2,1.624,3.376,1.376,3.376,1.624
628,"T1","1.000000",3,1,0,1.172,0,3.172,2.828
629,"T0","0.000000",2,1,2,3,3,2,4
630,"T2","1.000000",1,2,1.624,1.376,4,4,0.624
631,"T1","1.000000",1,1,0.828,3.172,1.172,2.172,0.828
632,"T1","1.000000",3,3,2.828,4,3.172,0,1.828
633,"T2","1.000000",3,2,0,0.376,2.376,0.376,0
634,"T0","0.000000",1,1,0,2,1,2,4
635,"T2","1.000000",2,2,3.624,2.376,1.376,2.376,3.624
636,"T0","0.000000",3,2,0,2,3,1,0
637,"T2","1.000000",3,3,2.624,0.376,0,3.376,1.624
638,"T0","0.000000",3,3,1,2,1,3,0
639,"T0","0.000000",1,3,4,4,2,2,3
640,"T2","1.000000",2,1,2.624,0,2.376,4,0
641,"T1","1.000000",1,2,2.828,2.172,4,4,0.828
642,"T2","1.000000",1,1,2.624,4,1.376,3.376,1.624
643,"T2","1.000000",1,1,0,4,1.376,1.376,1.624
644,"T1","1.000000",1,1,0,3.172,4,4,1.828
645,"T2","1.000000",2,2,0.624,3.376,4,2.376,1.624
646,"T0","0.000000",1,1,4,4,4,1,4
647,"T0","0.000000",2,2,1,1,1,3,3
648,"T1","1.000000",2,3,4,3.172,4,1.172,0.828
649,"T1","1.000000",2,2,0,1.172,4,4,1.828
650,"T2","1.000000",3,3,1.624,4,0.376,2.376,1.624
651,"T2","1.000000",2,1,2.624,1.376,3.376,2.376,1.624
652,"T2","1.000000",3,3,1.624,0.376,3.376,3.376,2.624
653,"T0","0.000000",2,2,1,0,1,4,0
654,"T2","1.000000",2,3,4,4,3.376,1.376,0
655,"T2","1.000000",2,2,0.624,3.376,3.376,3.376,0
656,"T1","1.000000",2,3,0.828,4,2.172,2.172,0.828
657,"T2","1.000000",1,3,4,3.376,4,3.376,1.624
658,"T0","0.000000",1,2,3,1,3,1,3
659,"T1","1.000000",1,2,0.828,4,4,3.172,2.828
660,"T0","0.000000",1,2,4,3,3,2,4
661,"T2","1.000000",2,2,0,2.376,2.376,0.376,3.624
662,"T1","1.000000",3,3,0.828,2.172,2.172,1.172,0
663,"T2","1.000000",2,3,3.624,4,1.376,1.376,3.624
664,"T2","1.000000",1,1,0,3.376,2.376,4,0.624
665,"T1","1.000000",2,1,0,2.172,4,3.172,0
666,"T2","1.000000",3,3,3.624,2.376,0,0.376,0
667,"T0","0.000000",1,2,2,4,4,2,4
668,"T1","1.000000",3,2,0,1.172,2.172,0,1.828
669,"T0","0.000000",2,2,4,4,2,4,1
670,"T0","0.000000",1,3,4,4,1,1,4
671,"T1","1.000000",1,2,0.828,3.172,1.172,3.172,1.828
672,"T0","0.000000",3,2,0,3,3,0,0
673,"T0","0.000000",3,2,0,0,0,1,2
674,"T0","0.000000",2,1,3,3,2,4,0
675,"T1","1.000000",1,3,2.828,3.172,2.172,4,2.828
676,"T0","0.000000",3,2,1,0,3,0,0
677,"T0","0.000000",1,1,0,4,4,4,4
678,"T0","0.000000",2,1,2,0,1,2,2
679,"T1","1.000000",3,2,0,3.172,3.172,2.172,2.828
680,"T2","1.000000",2,3,2.624,1.376,2.376,0.376,0.624
681,"T0","0.000000",2,1,0,0,4,0,0
682,"T2","1.000000",2,3,3.624,3.376,3.376,0.376,1.624
683,"T0","0.000000",3,1,0,1,0,3,1
684,"T1","1.000000",1,1,2.828,1.172,2.172,3.172,4
685,"T0","0.000000",3,2,2,2,3,3,2
686,"T1","1.000000",1,3,3.828,4,4,2.172,4
687,"T1","1.000000",1,1,1.828,0.172,3.172,4,2.828
688,"T1","1.000000",1,2,1.828,4,2.172,2.172,1.828
689,"T2","1.000000",1,3,3.624,2.376,1.376,3.376,0.624
690,"T1","1.000000",3,2,1.828,1.172,0,2.172,0
691,"T2","1.000000",1,2,3.624,2.376,2.376,2.376,3.624
692,"T1","1.000000",3,3,0.828,2.172,0.172,1.172,0
693,"T1","1.000000",2,1,2.828,0.172,4,3.172,2.828
694,"T0","0.000000",2,2,0,1,3,0,1
695,"T0","0.000000",1,1,3,4,2,4,4
696,"T0","0.000000",1,3,4,4,2,3,4
697,"T0","0.000000",1,2,1,3,4,4,1
698,"T0","0.000000",3,1,0,0,1,2,0
699,"T0","0.000000",1,2,4,4,1,3,3
700,"T1","1.000000",2,1,0.828,1.172,2.172,3.172,3.828
701,"T0","0.000000",1,1,0,1,4,4,2
702,"T2","1.000000",1,1,2.624,2.376,3.376,1.376,2.624
703,"T2","1.000000",3,2,2.624,2.376,1.376,0,0
704,"T2","1.000000",3,3,0,1.376,0,3.376,0.624
705,"T2","1.000000",2,3,0.624,4,3.376,1.376,2.624
706,"T2","1.000000",1,1,2.624,4,3.376,4,2.624
707,"T2","1.000000",1,2,3.624,3.376,4,4,2.624
708,"T0","0.000000",1,1,4,1,4,3,4
709,"T2","1.000000",1,2,0.624,1.376,3.376,2.376,1.624
710,"T0","0.000000",2,1,1,2,3,1,0
711,"T2","1.000000",2,1,0,1.376,4,0.376,3.624
712,"T2","1.000000",1,1,1.624,2.376,4,3.376,1.624
713,"T1","1.000000",1,2,2.828,4,4,2.172,3.828
714,"T0","0.000000",3,2,0,0,3,2,1
715,"T0","0.000000",1,3,2,2,4,1,3
716,"T0","0.000000",1,2,4,4,3,4,4
717,"T1","1.000000",3,1,0,1.172,0.172,2.172,0.828
718,"T0","0.000000",3,3,4,3,2,0,2
719,"T0","0.000000",2,1,3,0,3,3,2
720,"T1","1.000000",2,3,0.828,4,1.172,0.172,3.828
721,"T0","0.000000",2,2,2,1,2,1,3
722,"T2","1.000000",1,3,1.624,2.376,4,4,3.624
723,"T1","1.000000",1,3,4,4,3.172,3.172,1.828
724,"T1","1.000000",1,2,2.828,3.172,4,2.172,4
725,"T0","0.000000",2,3,4,4,0,4,4
726,"T1","1.000000",3,3,0,1.172,0,0,0
727,"T0","0.000000",3,2,0,3,0,0,0
728,"T2","1.000000",3,3,0.624,2.376,2.376,3.376,0.624
729,"T1","1.000000",2,2,0.828,4,0.172,3.172,1.828
730,"T0","0.000000",1,1,0,1,4,4,2
731,"T1","1.000000",2,1,0.828,0.172,0.172,2.172,0
732,"T1","1.000000",2,1,0,1.172,0.172,4,2.828
733,"T1","1.000000",2,1,2.828,2.172,4,0.172,2.828
734,"T2","1.000000",3,3,0.624,2.376,1.376,0,0.624
735,"T1","1.000000",1,3,3.828,4,4,2.172,4
736,"T2","1.000000",2,2,0.624,0.376,3.376,0.376,1.624
737,"T0","0.000000",2,1,0,1,1,1,2
738,"T2","1.000000",2,2,2.624,4,2.376,2.376,0
739,"T1","1.000000",3,2,2.828,1.172,1.172,0.172,0.828
740,"T2","1.000000",1,3,2.624,4,2.376,2.376,0.624
741,"T2","1.000000",2,1,2.624,0,1.376,2.376,0.624
742,"T2","1.000000",3,1,0.624,0.376,0,0.376,2.624
743,"T1","1.000000",3,3,0,4,1.172,0,0
744,"T1","1.000000",2,1,0,2.172,4,1.172,0
745,"T1","1.000000",3,3,2.828,0.172,2.172,0,2.828
746,"T0","0.000000",1,3,4,4,3,4,1
747,"T0","0.000000",1,1,2,2,3,4,3
748,"T2","1.000000",3,2,1.624,1.376,1.376,0.376,1.624
749,"T0","0.000000",3,2,1,2,2,0,2
750,"T1","1.000000",1,1,1.828,2.172,4,1.172,0.828
751,"T0","0.000000",1,1,1,4,3,1,1
752,"T2","1.000000",1,1,2.624,2.376,2.376,4,3.624
753,"T0","0.000000",2,3,3,4,1,2,1
754,"T2","1.000000",3,3,1.624,3.376,2.376,3.376,0.624
755,"T2","1.000000",1,2,2.624,2.376,3.376,1.376,2.624
756,"T2","1.000000",3,1,0,2.376,1.376,2.376,0
757,"T2","1.000000",1,3,4,4,3.376,2.376,2.624
758,"T2","1.000000",2,3,3.624,4,2.376,2.376,3.624
759,"T1","1.000000",1,2,3.828,4,1.172,4,2.828
760,"T1","1.000000",3,3,0,0.172,0,0,0.828
761,"T2","1.000000",2,3,4,4,4,3.376,0.624
762,"T2","1.000000",1,1,3.624,3.376,4,1.376,3.624
763,"T1","1.000000",3,2,1.828,0,2.172,0.172,0
764,"T2","1.000000",1,1,3.624,2.376,1.376,4,1.624
765,"T1","1.000000",2,2,0,1.172,0.172,2.172,0
766,"T2","1.000000",1,1,0,2.376,3.376,3.376,3.624
767,"T0","0.000000",3,3,4,3,0,0,3
768,"T2","1.000000",3,1,0,0,0.376,1.376,2.624
769,"T1","1.000000",1,1,3.828,2.172,3.172,4,3.828
770,"T0","0.000000",1,1,1,1,3,1,2
771,"T0","0.000000",2,3,3,1,2,1,4
772,"T0","0.000000",3,3,2,0,0,0,3
773,"T2","1.000000",3,1,0.624,0,0,1.376,1.624
774,"T2","1.000000",1,2,1.624,1.376,3.376,1.376,4
775,"T0","0.000000",3,2,0,3,1,0,2
776,"T1","1.000000",1,1,3.828,3.172,4,3.172,1.828
777,"T2","1.000000",3,2,2.624,2.376,1.376,0,0.624
778,"T1","1.000000",1,2,2.828,4,3.172,3.172,3.828
779,"T1","1.000000",2,3,0.828,4,4,3.172,0
780,"T0","0.000000",2,3,1,2,1,3,0
781,"T1","1.000000",2,3,0.828,3.172,4,1.172,0
782,"T2","1.000000",3,2,2.624,0.376,2.376,0.376,0.624
783,"T1","1.000000",1,2,1.828,3.172,4,1.172,2.828
784,"T1","1.000000",3,2,0,2.172,0,0.172,0
785,"T2","1.000000",1,1,2.624,2.376,3.376,4,0.624
786,"T2","1.000000",1,3,3.624,3.376,1.376,4,3.624
787,"T0","0.000000",1,1,3,2,4,2,3
788,"T2","1.000000",1,2,3.624,4,3.376,2.376,2.624
789,"T2","1.000000",3,1,0.624,2.376,2.376,1.376,0
790,"T0","0.000000",2,3,3,3,2,2,4
791,"T1","1.000000",1,2,4,4,2.172,2.172,3.828
792,"T0","0.000000",2,3,1,1,1,1,3
793,"T0","0.000000",2,3,1,3,0,0,2
794,"T2","1.000000",1,1,3.624,2.376,4,4,1.624
795,"T2","1.000000",1,3,3.624,3.376,1.376,3.376,3.624
796,"T0","0.000000",2,2,0,4,2,0,4
797,"T1","1.000000",2,3,0.828,2.172,0.172,1.172,0
798,"T0","0.000000",2,1,3,0,3,2,2
799,"T1","1.000000",2,2,0,4,0.172,0.172,0.828
800,"T2","1.000000",3,3,0.624,2.376,1.376,3.376,0
801,"T1","1.000000",2,1,0,0.172,0.172,2.172,2.828
802,"T2","1.000000",2,3,3.624,4,1.376,3.376,2.624
803,"T2","1.000000",1,3,3.624,4,3.376,4,4
804,"T2","1.000000",1,3,3.624,4,1.376,2.376,0.624
805,"T1","1.000000",3,1,0,1.172,0,3.172,0
806,"T2","1.000000",3,1,1.624,1.376,2.376,2.376,2.624
807,"T0","0.000000",3,1,0,0,1,2,0
808,"T2","1.000000",1,2,2.624,4,4,4,3.624
809,"T2","1.000000",3,3,1.624,2.376,2.376,3.376,0
810,"T1","1.000000",3,3,1.828,2.172,2.172,1.172,0
811,"T2","1.000000",2,1,1.624,0,3.376,2.376,2.624
812,"T1","1.000000",3,3,0,4,0,3.172,0
813,"T0","0.000000",2,3,2,4,3,1,2
814,"T2","1.000000",2,1,2.624,1.376,2.376,3.376,0.624
815,"T0","0.000000",2,3,1,1,0,1,1
816,"T1","1.000000",3,3,3.828,1.172,0,3.172,0
817,"T0","0.000000",2,3,4,3,3,3,2
818,"T0","0.000000",3,1,2,0,1,1,1
819,"T1","1.000000",1,2,2.828,4,2.172,1.172,2.828
820,"T0","0.000000",2,3,3,1,2,4,3
821,"T1","1.000000",2,1,1.828,0.172,0.172,3.172,0.828
822,"T1","1.000000",2,1,0,2.172,1.172,0.172,1.828
823,"T0","0.000000",1,2,2,1,3,1,4
824,"T1","1.000000",3,2,0,2.172,0,0.172,0
825,"T0","0.000000",3,1,2,1,1,0,0
826,"T1","1.000000",3,3,3.828,2.172,0.172,0,2.828
827,"T1","1.000000",1,3,3.828,2.172,4,2.172,3.828
828,"T1","1.000000",2,2,3.828,2.172,1.172,2.172,0.828
829,"T2","1.000000",2,2,0,3.376,1.376,0.376,2.624
830,"T0","0.000000",2,3,4,2,1,4,0
831,"T0","0.000000",2,2,3,4,4,2,3
832,"T1","1.000000",3,2,0,0,0.172,2.172,0
833,"T2","1.000000",3,3,2.624,2.376,2.376,0,0
834,"T1","1.000000",3,3,1.828,4,2.172,0,2.828
835,"T0","0.000000",2,1,3,0,4,0,4
836,"T2","1.000000",2,2,0,3.376,4,4,3.624
837,"T2","1.000000",2,1,2.624,0,0.376,2.376,0.624
838,"T2","1.000000",1,2,4,4,4,1.376,4
839,"T1","1.000000",2,2,2.828,4,2.172,1.172,0
840,"T2","1.000000",3,2,1.624,0.376,3.376,3.376,0.624
841,"T1","1.000000",2,3,0.828,4,1.172,2.172,1.828
842,"T1","1.000000",3,3,2.828,2.172,0.172,0.172,1.828
843,"T1","1.000000",2,2,2.828,2.172,1.172,2.172,3.828
844,"T2","1.000000",2,3,1.624,3.376,0.376,2.376,1.624
845,"T0","0.000000",3,2,2,2,1,1,0
846,"T1","1.000000",3,2,0.828,3.172,2.172,0.172,1.828
847,"T1","1.000000",3,1,0,2.172,0,3.172,1.828
848,"T1","1.000000",3,1,0.828,1.172,0,2.172,0
849,"T1","1.000000",1,1,0,4,2.172,2.172,3.828
850,"T0","0.000000",2,1,0,2,4,1,4
851,"T1","1.000000",1,2,3.828,2.172,4,1.172,0.828
852,"T2","1.000000",2,2,1.624,0.376,1.376,1.376,1.624
853,"T0","0.000000",1,1,0,4,1,4,3
854,"T1","1.000000",1,1,3.828,0.172,1.172,2.172,2.828
855,"T1","1.000000",2,3,2.828,2.172,2.172,0.172,3.828
856,"T0","0.000000",1,1,1,4,2,1,4
857,"T1","1.000000",1,3,1.828,3.172,4,2.172,2.828
858,"T0","0.000000",3,1,0,0,1,3,1
859,"T2","1.000000",1,2,3.624,4,4,4,2.624
860,"T1","1.000000",3,2,0,2.172,3.172,0,2.828
861,"T2","1.000000",1,1,0.624,0.376,1.376,2.376,3.624
862,"T1","1.000000",2,3,2.828,1.172,0.172,3.172,0
863,"T2","1.000000",2,1,0,3.376,0.376,1.376,3.624
864,"T1","1.000000",3,1,0,0.172,2.172,0,0
865,"T2","1.000000",3,1,0,0,2.376,1.376,2.624
866,"T2","1.000000",2,1,0,2.376,4,4,0.624
867,"T2","1.000000",2,2,0.624,3.376,0.376,2.376,3.624
868,"T1","1.000000",2,1,2.828,0.172,3.172,0.172,3.828
869,"T0","0.000000",2,1,0,0,0,3,0
870,"T1","1.000000",2,1,0,0.172,3.172,4,0
871,"T1","1.000000",3,3,3.828,4,0,0,0.828
872,"T0","0.000000",2,3,3,4,0,0,1
873,"T1","1.000000",1,3,1.828,3.172,4,3.172,3.828
874,"T2","1.000000",1,3,2.624,2.376,1.376,1.376,2.624
875,"T0","0.000000",2,2,0,0,4,4,0
876,"T1","1.000000",3,3,1.828,0.172,0,1.172,0.828
877,"T2","1.000000",3,1,0.624,0,3.376,3.376,1.624
878,"T2","1.000000",1,1,3.624,2.376,1.376,3.376,2.624
879,"T0","0.000000",2,3,4,4,0,1,4
880,"T2","1.000000",2,3,0.624,2.376,1.376,0.376,0.624
881,"T2","1.000000",3,1,0,1.376,1.376,0,0
882,"T2","1.000000",3,3,0,4,3.376,2.376,1.624
883,"T0","0.000000",2,3,3,1,4,0,4
884,"T1","1.000000",3,2,2.828,1.172,1.172,1.172,0
885,"T1","1.000000",2,2,0.828,2.172,4,1.172,0.828
886,"T0","0.000000",1,3,2,3,3,2,1
887,"T1","1.000000",2,2,2.828,3.172,3.172,3.172,2.828
888,"T1","1.000000",2,1,0.828,0,1.172,0.172,3.828
889,"T2","1.000000",3,2,2.624,2.376,1.376,3.376,0.624
890,"T0","0.000000",2,3,1,2,2,2,1
891,"T0","0.000000",2,2,2,1,3,1,3
892,"T1","1.000000",1,3,4,2.172,1.172,3.172,0.828
893,"T0","0.000000",2,3,1,1,2,4,3
894,"T0","0.000000",3,3,0,2,0,0,0
895,"T0","0.000000",1,1,0,1,1,4,2
896,"T1","1.000000",3,3,0,3.172,0,2.172,1.828
897,"T1","1.000000",2,2,3.828,2.172,3.172,1.172,0.828
898,"T0","0.000000",1,2,3,4,4,4,4
899,"T1","1.000000",1,2,0.828,2.172,2.172,4,0.828
900,"T0","0.000000",2,2,3,4,1,1,4
901,"T1","1.000000",2,1,0,0.172,3.172,4,2.828
902,"T1","1.000000",3,2,0.828,3.172,2.172,0,0.828
903,"T2","1.000000",3,3,0,3.376,0.376,0,0
904,"T2","1.000000",1,3,4,3.376,4,4,4
905,"T2","1.000000",2,3,3.624,3.376,2.376,4,2.624
906,"T1","1.000000",1,3,3.828,4,4,4,2.828
907,"T0","0.000000",3,3,1,1,0,2,1
908,"T1","1.000000",2,1,1.828,1.172,4,3.172,1.828
909,"T0","0.000000",3,1,2,2,1,2,3
910,"T1","1.000000",1,2,0.828,3.172,4,4,2.828
911,"T2","1.000000",2,1,0,0,3.376,0.376,1.624
912,"T0","0.000000",1,2,4,2,3,1,4
913,"T2","1.000000",3,3,3.624,2.376,1.376,1.376,0
914,"T1","1.000000",2,3,0.828,2.172,4,0.172,0.828
915,"T2","1.000000",1,1,1.624,2.376,4,3.376,3.624
916,"T2","1.000000",1,3,3.624,4,4,4,0.624
917,"T2","1.000000",2,3,4,1.376,1.376,3.376,1.624
918,"T1","1.000000",2,1,0,0.172,3.172,3.172,3.828
919,"T0","0.000000",1,2,3,4,4,4,3
920,"T1","1.000000",3,3,0,0.172,1.172,2.172,0.828
921,"T2","1.000000",3,3,1.624,3.376,2.376,3.376,1.624
922,"T2","1.000000",3,3,3.624,4,0.376,2.376,0
923,"T1","1.000000",3,3,0.828,1.172,2.172,0.172,1.828
924,"T1","1.000000",1,2,3.828,3.172,3.172,2.172,3.828
925,"T0","0.000000",1,3,4,2,1,1,4
926,"T0","0.000000",2,1,3,2,0,0,4
927,"T0","0.000000",3,1,1,1,2,2,0
928,"T0","0.000000",2,1,0,3,2,0,2
929,"T0","0.000000",3,1,1,1,0,1,2
930,"T2","1.000000",2,3,3.624,4,2.376,4,0.624
931,"T1","1.000000",3,3,3.828,3.172,2.172,3.172,0.828
