"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
567,1,1,3,3,2.828,1.172,1.172,1.172,0
568,0,0,1,3,4,3,4,3,4
569,2,1,2,1,0,0.376,0.376,0.376,3.624
570,1,1,1,3,1.828,4,1.172,4,2.828
571,0,0,2,3,2,1,3,4,4
572,2,1,3,1,0,0,0,1.376,0.624
573,1,1,1,1,0.828,0.172,1.172,1.172,2.828
574,2,1,2,3,3.624,4,1.376,2.376,1.624
575,2,1,2,1,0,3.376,2.376,0.376,0
576,0,0,1,2,4,2,2,2,4
577,1,1,1,3,3.828,3.172,4,1.172,3.828
578,0,0,1,3,4,3,2,2,1
579,2,1,1,2,2.624,2.376,4,1.376,1.624
580,2,1,3,1,0.624,0,1.376,1.376,2.624
581,0,0,3,1,2,0,0,1,0
582,0,0,2,3,1,4,2,1,1
583,0,0,2,2,2,3,1,4,1
584,1,1,1,1,0.828,0.172,2.172,2.172,2.828
585,0,0,1,2,2,2,2,2,4
586,2,1,3,2,0.624,0.376,1.376,3.376,2.624
587,0,0,2,3,4,4,0,4,2
588,2,1,2,2,3.624,3.376,3.376,2.376,0
589,0,0,3,3,2,1,3,0,1
590,0,0,1,1,3,0,4,4,3
591,0,0,1,2,4,2,2,2,3
592,1,1,1,3,4,3.172,4,4,0.828
593,2,1,1,2,3.624,4,4,3.376,1.624
594,2,1,1,1,3.624,3.376,4,4,2.624
595,2,1,3,3,3.624,0.376,2.376,0,1.624
596,2,1,1,3,4,4,2.376,4,0.624
597,0,0,1,1,0,0,4,4,4
598,1,1,1,1,3.828,4,1.172,3.172,3.828
599,0,0,3,1,0,1,0,0,0
600,0,0,2,3,4,2,1,1,1
601,0,0,1,3,2,3,3,2,4
602,1,1,1,2,1.828,4,1.172,3.172,3.828
603,0,0,2,2,4,0,4,3,3
604,2,1,3,3,3.624,2.376,3.376,1.376,1.624
605,0,0,3,3,4,3,0,0,0
606,0,0,2,2,1,0,1,3,3
607,1,1,2,3,0.828,1.172,4,2.172,0
608,0,0,2,1,2,0,2,0,2
609,2,1,1,1,3.624,3.376,3.376,2.376,3.624
610,1,1,1,2,0.828,2.172,4,1.172,1.828
611,2,1,1,3,4,4,3.376,1.376,1.624
612,2,1,2,2,3.624,0.376,0.376,4,3.624
613,1,1,3,2,1.828,0,2.172,0.172,0
614,0,0,1,3,3,4,4,4,1
615,1,1,1,3,1.828,3.172,3.172,4,1.828
616,1,1,3,1,1.828,2.172,2.172,0,2.828
617,2,1,2,3,4,2.376,4,3.376,1.624
618,0,0,3,2,2,2,0,0,0
619,2,1,3,2,0,0,3.376,1.376,0.624
620,2,1,1,2,4,4,1.376,2.376,4
621,2,1,2,3,1.624,4,2.376,3.376,3.624
622,2,1,3,3,1.624,3.376,3.376,3.376,0
623,1,1,2,2,1.828,4,4,0.172,1.828
624,1,1,2,2,0.828,3.172,2.172,4,0
625,2,1,2,2,1.624,2.376,2.376,3.376,2.624
626,1,1,3,1,1.828,0,0,0,2.828
627,1,1,1,2,4,4,4,4,2.828
628,1,1,2,1,0,1.172,0.172,3.172,3.828
629,0,0,3,1,0,0,1,0,0
630,0,0,3,3,3,0,0,0,0
631,2,1,1,2,4,4,4,2.376,3.624
632,0,0,2,1,2,3,3,4,3
633,0,0,2,2,2,2,0,4,1
634,2,1,3,2,0,3.376,1.376,0,2.624
635,1,1,3,1,0,0,0,3.172,1.828
636,1,1,1,1,2.828,4,2.172,3.172,1.828
637,0,0,3,1,0,2,3,2,1
638,0,0,2,2,2,2,0,3,0
639,1,1,3,3,1.828,0.172,2.172,1.172,1.828
640,1,1,1,1,2.828,0.172,3.172,4,0.828
641,0,0,2,3,4,1,3,2,3
642,1,1,1,3,2.828,4,3.172,3.172,4
643,2,1,2,3,4,3.376,2.376,4,0.624
644,1,1,1,1,2.828,0.172,1.172,2.172,0.828
645,0,0,2,3,2,3,2,4,0
646,1,1,1,1,0.828,2.172,4,3.172,2.828
647,1,1,2,3,4,4,2.172,4,0
648,2,1,2,2,1.624,3.376,3.376,3.376,1.624
649,2,1,2,2,3.624,1.376,2.376,0.376,0
650,1,1,1,1,2.828,4,1.172,4,4
651,2,1,1,3,4,4,4,2.376,4
652,0,0,1,3,4,4,3,4,3
653,1,1,1,1,0,0.172,2.172,1.172,2.828
654,1,1,1,2,1.828,4,2.172,4,0.828
655,2,1,1,3,4,4,4,4,4
656,0,0,3,2,3,1,0,0,1
657,0,0,1,3,3,3,4,3,1
658,1,1,2,3,2.828,4,0.172,2.172,1.828
659,1,1,3,3,1.828,1.172,0,0.172,0
660,2,1,1,3,3.624,4,2.376,4,4
661,2,1,1,1,1.624,1.376,4,4,4
662,2,1,3,2,1.624,1.376,2.376,1.376,1.624
663,1,1,3,1,0.828,2.172,0.172,0.172,1.828
664,1,1,3,3,1.828,1.172,0,2.172,1.828
665,1,1,3,3,2.828,0.172,0.172,2.172,2.828
666,0,0,3,2,2,3,2,3,1
667,1,1,3,3,0.828,2.172,2.172,0,0.828
668,0,0,3,3,0,2,2,2,0
669,2,1,3,1,0,0,0,2.376,0
670,1,1,1,1,2.828,2.172,4,4,3.828
671,1,1,1,2,0.828,4,2.172,4,3.828
672,2,1,1,3,3.624,4,4,4,4
673,0,0,2,1,1,0,0,1,0
674,2,1,3,2,2.624,0,1.376,2.376,0
675,2,1,2,1,0,3.376,3.376,3.376,2.624
676,2,1,3,2,0,1.376,2.376,0,0
677,0,0,1,2,1,3,2,4,4
678,1,1,3,3,1.828,4,0.172,3.172,0
679,0,0,2,3,4,4,1,0,1
680,0,0,1,1,3,0,4,4,4
681,1,1,2,1,1.828,2.172,0.172,4,2.828
682,0,0,1,3,4,4,3,3,2
683,2,1,1,3,3.624,3.376,1.376,2.376,4
684,2,1,2,1,2.624,1.376,1.376,3.376,0.624
685,0,0,3,1,1,2,3,0,3
686,2,1,1,1,0,3.376,4,1.376,0.624
687,2,1,2,1,1.624,0.376,4,0.376,0
688,2,1,1,3,4,3.376,4,2.376,1.624
689,0,0,1,3,2,4,4,1,2
690,1,1,1,1,1.828,2.172,4,1.172,3.828
691,2,1,1,1,3.624,3.376,2.376,4,0.624
692,2,1,2,2,1.624,4,0.376,1.376,3.624
693,1,1,3,3,1.828,3.172,2.172,3.172,0
694,2,1,1,2,1.624,3.376,4,4,1.624
695,0,0,2,2,3,2,2,4,3
696,0,0,2,2,3,4,1,1,3
697,1,1,3,2,0,3.172,0,2.172,0
698,2,1,3,3,0,3.376,0,2.376,0.624
699,2,1,2,1,0.624,0,1.376,3.376,2.624
700,1,1,3,3,1.828,2.172,1.172,0.172,0.828
701,1,1,2,3,3.828,2.172,3.172,3.172,3.828
702,2,1,3,1,0.624,0,0.376,0.376,0
703,2,1,1,2,3.624,4,1.376,3.376,4
704,0,0,3,3,4,3,2,0,0
705,2,1,2,3,3.624,2.376,4,3.376,3.624
706,0,0,2,2,3,3,3,1,1
707,2,1,1,2,4,4,2.376,1.376,4
708,2,1,1,2,2.624,4,2.376,3.376,2.624
709,1,1,3,2,2.828,0,3.172,0,1.828
710,2,1,1,1,3.624,2.376,2.376,2.376,4
711,1,1,1,2,1.828,3.172,4,4,3.828
712,2,1,3,1,1.624,0,3.376,0,0
713,2,1,2,2,1.624,2.376,2.376,0.376,3.624
714,0,0,3,1,1,0,2,0,3
715,1,1,1,3,1.828,4,4,4,1.828
716,2,1,3,2,1.624,2.376,0.376,2.376,0
717,2,1,3,1,0.624,0,0.376,2.376,1.624
718,0,0,2,1,0,0,3,2,2
719,0,0,1,3,4,3,1,2,4
720,0,0,3,3,2,2,0,2,3
721,2,1,1,2,0.624,1.376,2.376,2.376,3.624
722,0,0,1,3,4,4,1,3,3
723,2,1,2,2,1.624,3.376,3.376,2.376,3.624
724,0,0,3,1,0,0,3,0,1
725,1,1,2,2,0.828,4,1.172,2.172,0
726,1,1,1,1,0,0.172,4,1.172,1.828
727,0,0,1,2,1,4,4,1,1
728,2,1,3,3,2.624,0.376,2.376,0,0
729,0,0,3,3,4,3,2,2,1
730,0,0,3,2,0,3,2,3,2
731,1,1,1,3,3.828,4,4,4,1.828
732,0,0,3,2,0,1,1,0,1
733,1,1,1,1,1.828,1.172,1.172,2.172,0.828
734,0,0,3,2,1,2,1,2,1
735,0,0,3,3,3,2,0,1,3
736,0,0,1,2,4,3,1,3,4
737,2,1,1,1,0.624,1.376,2.376,4,0.624
738,0,0,3,3,2,4,0,0,0
739,2,1,1,3,3.624,4,4,1.376,2.624
740,1,1,1,3,4,4,4,4,4
741,2,1,3,3,0.624,4,0,1.376,0
742,1,1,2,2,0.828,2.172,3.172,2.172,3.828
743,2,1,3,1,0,0,1.376,2.376,0
744,0,0,1,3,3,4,4,1,3
745,0,0,1,1,4,1,4,3,4
746,0,0,2,3,4,3,2,1,0
747,0,0,1,1,2,0,4,4,2
748,2,1,2,3,3.624,2.376,1.376,0.376,1.624
749,2,1,2,3,4,3.376,2.376,3.376,2.624
750,1,1,3,3,0.828,3.172,1.172,3.172,2.828
751,0,0,2,3,4,4,0,0,2
752,0,0,2,3,4,4,3,4,4
753,1,1,3,2,2.828,2.172,0.172,1.172,0
754,2,1,2,1,0.624,1.376,2.376,4,0
755,2,1,1,1,0.624,0.376,1.376,2.376,1.624
756,2,1,1,2,2.624,2.376,4,4,0.624
757,2,1,2,3,0.624,4,3.376,4,0
758,0,0,3,2,0,3,0,0,3
759,2,1,1,1,1.624,4,4,2.376,3.624
760,2,1,3,3,2.624,0.376,3.376,0,2.624
761,0,0,2,3,3,4,4,4,3
762,2,1,3,3,0,4,0,1.376,2.624
763,1,1,3,1,0,2.172,0.172,1.172,2.828
764,1,1,2,1,0,1.172,4,4,3.828
765,1,1,2,1,0,1.172,4,4,0.828
766,2,1,3,3,2.624,0.376,1.376,1.376,1.624
767,1,1,1,3,1.828,4,1.172,2.172,0.828
768,1,1,1,1,2.828,1.172,1.172,4,0.828
769,2,1,2,1,1.624,0,4,2.376,3.624
770,2,1,3,1,0,0,2.376,0,0
771,1,1,3,1,1.828,0,0.172,3.172,0.828
772,0,0,1,3,4,2,1,3,2
773,2,1,2,1,2.624,0,0.376,2.376,3.624
774,1,1,3,1,0,0.172,1.172,0.172,0.828
775,0,0,1,2,2,4,4,1,4
776,2,1,2,1,2.624,3.376,1.376,4,1.624
777,0,0,3,2,0,2,0,3,2
778,2,1,3,3,0,1.376,0.376,2.376,1.624
779,0,0,3,3,3,4,0,3,3
780,1,1,3,3,0.828,1.172,3.172,2.172,0
781,0,0,2,3,3,4,0,0,0
782,0,0,2,2,2,3,2,3,4
783,1,1,2,3,0.828,4,3.172,2.172,1.828
784,1,1,1,2,4,2.172,3.172,1.172,2.828
785,0,0,1,2,4,1,4,4,4
786,2,1,2,1,0.624,3.376,1.376,0.376,3.624
787,1,1,2,1,0,0,0.172,0.172,3.828
788,0,0,3,2,0,0,1,2,0
789,1,1,1,2,4,4,2.172,1.172,3.828
790,0,0,3,2,3,0,3,3,1
791,1,1,2,3,3.828,2.172,0.172,1.172,3.828
792,2,1,1,3,4,3.376,3.376,3.376,3.624
793,1,1,3,1,1.828,0.172,2.172,1.172,0
794,2,1,2,3,2.624,4,0.376,1.376,2.624
795,1,1,3,3,1.828,4,1.172,1.172,0.828
796,1,1,3,2,1.828,0,0,0.172,0
797,1,1,3,3,0,3.172,3.172,3.172,1.828
798,1,1,2,1,0,3.172,1.172,0.172,3.828
799,1,1,2,1,0.828,0.172,3.172,2.172,1.828
800,1,1,3,2,0,3.172,0.172,0,2.828
801,1,1,3,2,2.828,0,0.172,0.172,2.828
802,0,0,2,3,2,3,2,0,4
803,2,1,2,3,1.624,4,0.376,3.376,0
804,1,1,3,2,0,3.172,0.172,1.172,2.828
805,1,1,2,1,0.828,2.172,4,1.172,0
806,1,1,1,2,2.828,4,2.172,1.172,2.828
807,0,0,1,3,4,3,1,3,1
808,2,1,2,1,2.624,1.376,1.376,1.376,2.624
809,0,0,2,2,3,1,1,4,3
810,1,1,3,2,0.828,1.172,3.172,0,0
811,0,0,3,2,0,1,0,3,3
812,1,1,1,1,0.828,3.172,2.172,3.172,2.828
813,0,0,2,1,3,3,0,4,4
814,2,1,3,3,0.624,0.376,0,2.376,0
815,0,0,3,1,0,1,3,0,0
816,1,1,3,2,0,1.172,2.172,2.172,0
817,0,0,2,2,2,3,3,4,0
818,0,0,3,1,0,0,3,3,0
819,0,0,1,1,1,3,2,1,3
820,0,0,1,3,4,4,1,3,3
821,0,0,2,3,4,1,3,3,3
822,1,1,3,1,0,0,0,3.172,0.828
823,0,0,1,3,4,3,1,4,4
824,0,0,3,1,2,0,2,3,1
825,1,1,3,2,1.828,0,1.172,1.172,0.828
826,2,1,3,2,0,3.376,3.376,3.376,0
827,2,1,3,3,2.624,0.376,0.376,0,1.624
828,0,0,2,2,0,2,2,3,2
829,2,1,2,3,2.624,4,4,2.376,1.624
830,2,1,3,3,0.624,4,0.376,0,1.624
831,0,0,2,2,2,2,4,4,3
832,2,1,3,3,2.624,3.376,1.376,0,2.624
833,1,1,2,2,0,3.172,1.172,2.172,3.828
834,1,1,3,1,0.828,2.172,2.172,0,0
835,2,1,2,2,3.624,4,0.376,1.376,0.624
836,1,1,1,2,0.828,4,3.172,1.172,3.828
837,0,0,3,2,0,2,0,3,2
838,2,1,3,1,0,0.376,2.376,2.376,0
839,0,0,3,1,0,0,0,0,0
840,2,1,3,1,0,2.376,0.376,0.376,0.624
841,2,1,2,1,0,0.376,3.376,0.376,2.624
842,0,0,1,2,1,2,4,4,4
843,2,1,3,3,2.624,1.376,1.376,0,2.624
844,1,1,2,3,0.828,4,0.172,3.172,1.828
845,2,1,1,1,1.624,3.376,4,4,1.624
846,0,0,1,3,4,4,2,1,2
847,2,1,1,3,4,3.376,4,3.376,1.624
848,0,0,3,1,0,0,0,3,2
849,1,1,3,3,0.828,2.172,1.172,0,0
850,2,1,1,2,3.624,4,3.376,3.376,2.624
851,0,0,2,3,4,4,2,0,3
852,1,1,3,3,2.828,1.172,1.172,2.172,1.828
853,2,1,2,3,1.624,1.376,0.376,3.376,3.624
854,1,1,2,1,2.828,1.172,3.172,4,0
855,2,1,1,1,3.624,2.376,4,1.376,4
856,2,1,2,3,3.624,2.376,0.376,3.376,0
857,2,1,2,3,1.624,3.376,3.376,2.376,0.624
858,2,1,2,2,0,1.376,3.376,2.376,0
859,2,1,2,1,1.624,0,1.376,3.376,2.624
860,0,0,3,1,0,0,3,2,3
861,2,1,2,3,4,3.376,0.376,4,1.624
862,2,1,2,1,1.624,1.376,4,2.376,3.624
863,2,1,2,2,1.624,2.376,4,4,3.624
864,2,1,2,1,2.624,3.376,2.376,1.376,1.624
865,1,1,2,2,2.828,3.172,1.172,0.172,2.828
866,0,0,1,1,1,4,3,4,1
867,2,1,1,3,4,3.376,3.376,1.376,0.624
868,2,1,1,2,1.624,3.376,3.376,3.376,3.624
869,2,1,2,2,0.624,2.376,3.376,0.376,0.624
870,1,1,3,2,0,3.172,1.172,1.172,0.828
871,0,0,3,1,2,2,3,2,3
872,2,1,2,1,0.624,0,0.376,2.376,0.624
873,2,1,1,3,3.624,4,1.376,3.376,0.624
874,2,1,2,1,0.624,2.376,0.376,4,3.624
875,2,1,2,2,3.624,0.376,2.376,2.376,3.624
876,1,1,3,2,0,2.172,0,3.172,0
877,0,0,3,3,3,2,1,2,3
878,0,0,1,3,2,4,4,1,2
879,0,0,2,3,1,1,3,1,1
880,0,0,1,1,2,4,2,3,1
881,1,1,1,2,3.828,2.172,4,4,4
882,2,1,3,2,0,3.376,1.376,0,1.624
883,2,1,1,2,1.624,3.376,4,1.376,2.624
884,2,1,1,1,3.624,3.376,2.376,3.376,2.624
885,1,1,2,3,3.828,2.172,3.172,1.172,1.828
886,1,1,2,3,2.828,3.172,2.172,3.172,0
887,1,1,2,2,1.828,3.172,4,3.172,1.828
888,1,1,2,1,1.828,1.172,3.172,2.172,0.828
889,2,1,1,2,2.624,4,2.376,2.376,2.624
890,0,0,2,2,2,3,2,3,0
891,1,1,3,2,0,3.172,0.172,0.172,0.828
892,0,0,2,2,0,4,3,3,1
893,1,1,3,2,0,0,1.172,0,2.828
894,0,0,3,1,1,0,0,3,0
895,0,0,1,2,3,4,1,2,3
896,1,1,1,3,1.828,4,4,4,1.828
897,2,1,2,2,1.624,0.376,1.376,4,2.624
898,1,1,1,2,0.828,3.172,4,4,0.828
899,1,1,3,2,0.828,0,1.172,0.172,0.828
900,2,1,2,1,0.624,2.376,0.376,2.376,2.624
901,0,0,2,3,4,4,4,3,4
902,1,1,2,3,1.828,3.172,2.172,1.172,3.828
903,1,1,1,2,3.828,4,4,2.172,0.828
904,1,1,1,1,0,2.172,4,1.172,0.828
905,1,1,3,2,2.828,1.172,0.172,0,0.828
906,2,1,3,2,2.624,2.376,1.376,2.376,1.624
907,2,1,2,1,0,3.376,3.376,0.376,1.624
908,1,1,2,2,1.828,1.172,0.172,4,3.828
909,2,1,3,1,0,0,1.376,1.376,1.624
910,2,1,3,1,0,0,3.376,2.376,0
911,1,1,2,2,1.828,1.172,2.172,2.172,1.828
912,1,1,3,1,0.828,0,3.172,2.172,0
913,2,1,1,2,4,4,2.376,4,1.624
914,2,1,1,3,4,4,3.376,3.376,2.624
915,0,0,1,3,4,4,3,4,3
916,1,1,3,3,2.828,4,3.172,2.172,0
917,1,1,2,1,2.828,3.172,2.172,4,1.828
918,0,0,3,2,0,2,2,0,3
919,2,1,3,2,0,0.376,1.376,0.376,0.624
920,1,1,3,3,3.828,2.172,2.172,2.172,0
921,0,0,3,3,2,3,0,0,2
922,0,0,1,3,3,4,3,4,2
923,1,1,2,3,2.828,4,1.172,1.172,1.828
924,2,1,2,3,3.624,4,4,0.376,3.624
925,0,0,2,3,4,1,0,0,4
926,1,1,1,3,4,4,4,4,2.828
927,1,1,1,2,2.828,3.172,4,2.172,2.828
928,1,1,1,3,1.828,3.172,1.172,4,2.828
929,0,0,3,3,0,0,0,3,2
930,2,1,3,2,0,0,1.376,2.376,0.624
931,2,1,1,2,1.624,4,2.376,1.376,4
932,1,1,1,2,2.828,4,2.172,3.172,0.828
933,0,0,3,2,0,0,2,2,1
934,2,1,1,2,2.624,3.376,4,4,0.624
935,0,0,2,1,0,1,3,3,2
936,2,1,1,1,1.624,3.376,2.376,1.376,2.624
937,2,1,3,3,0.624,4,1.376,3.376,0.624
938,2,1,2,3,2.624,2.376,3.376,3.376,2.624
939,1,1,1,1,3.828,1.172,4,3.172,3.828
940,1,1,1,1,3.828,0.172,4,2.172,2.828
941,0,0,2,1,0,0,4,0,4
942,2,1,1,2,1.624,4,4,4,4
943,0,0,2,1,0,0,3,4,0
944,1,1,1,3,4,3.172,4,4,0.828
945,2,1,1,1,2.624,4,3.376,1.376,4
946,2,1,2,2,1.624,4,1.376,2.376,2.624
947,1,1,2,3,1.828,2.172,1.172,2.172,3.828
948,1,1,3,3,0.828,4,0.172,3.172,0
949,2,1,3,2,0.624,0,0,1.376,0
950,1,1,2,1,0.828,0.172,4,4,1.828
951,0,0,2,1,3,0,1,0,1
952,0,0,3,1,1,0,3,0,2
953,0,0,1,3,4,4,2,4,3
954,1,1,1,1,3.828,4,3.172,3.172,4
955,1,1,2,3,1.828,4,1.172,1.172,3.828
956,1,1,3,1,0,0.172,0,0.172,0.828
957,0,0,1,3,4,3,2,4,3
958,1,1,3,2,0,1.172,3.172,0,0
959,0,0,1,1,3,1,4,4,2
960,0,0,1,3,4,3,1,4,1
961,2,1,1,2,4,3.376,3.376,1.376,3.624
962,0,0,1,3,4,4,4,2,1
963,2,1,3,1,0.624,0,3.376,0.376,1.624
964,1,1,2,1,1.828,0.172,0.172,2.172,0.828
965,0,0,3,3,1,0,0,1,0
966,0,0,2,2,4,2,2,1,0
967,0,0,1,2,2,2,4,3,4
968,2,1,1,3,4,2.376,4,4,2.624
969,1,1,2,1,2.828,3.172,0.172,1.172,1.828
970,2,1,1,3,4,4,2.376,4,2.624
971,2,1,2,3,4,1.376,1.376,1.376,1.624
972,0,0,2,2,1,0,2,0,3
973,0,0,1,2,4,1,3,4,4
974,1,1,1,2,1.828,3.172,1.172,4,0.828
975,2,1,3,2,0,2.376,1.376,0.376,0
976,0,0,1,2,2,3,1,4,3
977,1,1,2,2,0,3.172,4,4,0.828
978,0,0,3,1,0,1,3,2,0
979,0,0,3,2,1,0,1,1,1
980,0,0,2,2,0,3,4,3,2
981,2,1,1,2,4,4,1.376,2.376,1.624
982,1,1,2,1,0,2.172,1.172,3.172,2.828
983,2,1,1,2,4,3.376,4,4,1.624
984,1,1,2,2,1.828,4,4,4,0
985,0,0,2,3,1,3,4,2,3
986,1,1,2,3,3.828,1.172,2.172,2.172,3.828
987,1,1,1,3,2.828,4,3.172,4,3.828
988,0,0,2,3,2,2,1,4,4
989,2,1,2,2,2.624,4,1.376,4,1.624
990,2,1,3,3,3.624,3.376,1.376,3.376,0
991,2,1,2,2,0,4,0.376,3.376,2.624
992,1,1,1,3,1.828,4,4,1.172,2.828
993,0,0,3,2,2,0,1,2,2
994,2,1,1,3,2.624,4,1.376,4,0.624
995,1,1,3,2,0,1.172,0,3.172,2.828
996,2,1,3,2,0,0.376,0.376,1.376,0
997,1,1,3,1,1.828,0.172,0,0.172,0.828
998,1,1,3,2,1.828,0,0.172,1.172,2.828
999,2,1,2,1,0,0,0.376,2.376,0
1000,1,1,3,1,0,0.172,0,3.172,0
