"id","Z","russia","warfare","direct","indirect","economic","political","general"
775,0,1,3,4,2,4,4,1
776,1,3,3,3,1,2,3,0
777,0,2,2,4,2,1,0,3
778,1,3,1,1,3,2,2,0
779,0,1,2,1,4,2,4,2
780,1,1,2,1,2,4,4,1
781,1,1,1,2,3,4,3,3
782,0,2,2,3,4,0,1,4
783,1,3,1,1,0,0,0,0
784,1,1,1,1,4,4,2,3
785,0,1,3,2,3,4,1,4
786,0,2,3,1,1,1,4,1
787,0,3,2,1,0,3,3,1
788,0,3,3,0,2,1,3,1
789,1,1,1,0,2,4,4,0
790,1,2,2,3,2,4,1,1
791,0,1,1,2,1,3,4,2
792,0,3,3,2,0,3,1,0
793,0,2,1,1,0,1,3,2
794,1,3,1,1,0,4,1,0
795,0,1,3,4,2,4,2,1
796,0,1,1,3,3,3,2,3
797,1,3,2,1,3,3,2,0
798,0,2,3,1,3,2,3,1
799,1,1,2,4,4,2,4,4
800,1,1,3,4,4,4,4,4
801,0,2,3,2,1,2,0,1
802,0,3,2,1,1,3,0,1
803,0,2,1,3,2,2,4,2
804,0,3,1,1,0,0,0,1
805,0,1,2,4,4,4,3,2
806,1,1,2,2,3,4,2,0
807,0,1,2,2,4,1,3,2
808,1,2,2,3,4,4,4,1
809,0,1,1,4,4,1,3,4
810,0,1,1,4,0,2,2,3
811,0,3,2,0,3,1,0,2
812,1,2,1,0,4,3,3,0
813,1,1,1,0,3,4,3,3
814,1,3,3,2,4,4,2,2
815,1,3,3,1,2,0,2,2
816,1,3,2,0,3,1,0,0
817,0,1,3,3,4,3,4,4
818,1,3,1,0,0,4,4,2
819,1,3,3,2,4,3,3,0
820,0,2,1,1,2,4,3,3
821,1,3,3,1,2,0,3,1
822,1,1,3,4,4,3,4,0
823,1,1,1,1,4,4,4,2
824,0,3,1,0,2,1,1,3
825,1,3,2,2,1,1,0,0
826,1,2,3,0,4,2,4,1
827,1,1,2,3,4,4,3,1
828,1,1,2,0,4,3,4,0
829,1,2,2,2,3,4,1,3
830,0,2,2,3,0,1,3,0
831,1,1,1,2,4,4,4,1
832,1,1,2,4,4,4,3,4
833,0,3,3,1,4,3,1,1
834,1,2,2,0,1,2,1,0
835,0,3,2,2,1,0,0,0
836,0,2,1,3,0,2,3,2
837,1,3,3,0,1,0,1,1
838,1,1,1,0,3,2,4,0
839,0,2,3,3,1,3,4,3
840,1,2,2,3,4,4,1,0
841,0,2,2,3,1,0,2,1
842,1,3,1,0,3,0,4,0
843,1,3,3,3,2,0,0,2
844,0,1,2,3,4,4,2,2
845,0,3,3,3,1,1,1,3
846,0,3,1,1,2,1,0,3
847,1,2,3,0,4,4,4,0
848,0,1,1,3,1,4,1,2
849,1,1,3,1,4,2,4,3
850,1,1,3,2,4,4,3,1
851,0,3,1,2,0,1,1,3
852,1,3,2,2,0,4,3,2
853,0,3,2,0,0,0,3,2
854,0,1,3,3,3,4,4,2
855,1,3,3,2,2,0,4,0
856,1,2,3,1,4,4,4,0
857,1,1,3,4,4,4,4,4
858,1,1,1,0,2,4,3,2
859,1,3,1,0,2,0,3,0
860,0,2,3,1,4,2,1,1
861,0,2,1,2,3,3,0,3
862,0,1,1,2,3,1,2,3
863,0,1,2,4,3,2,2,1
864,1,2,2,1,4,3,4,3
865,1,3,3,3,1,2,2,0
866,1,1,1,3,4,4,4,3
867,0,3,2,0,0,2,0,2
868,1,1,3,3,4,4,4,3
869,1,3,3,0,1,2,3,2
870,0,1,3,4,4,4,1,3
871,1,3,3,3,2,2,3,0
872,1,1,3,4,3,4,4,3
873,0,3,3,2,3,1,3,0
874,1,2,1,2,2,1,3,0
875,0,1,1,3,1,3,3,3
876,0,3,3,0,0,1,0,0
877,1,1,3,3,3,4,4,4
878,1,2,1,2,2,1,1,2
879,1,1,1,1,4,3,4,1
880,1,1,3,3,4,4,2,3
881,0,2,3,1,3,1,1,1
882,0,3,2,0,2,1,3,0
883,0,1,3,3,4,3,3,3
884,1,2,1,2,3,4,2,2
885,1,2,2,3,4,4,4,0
886,1,3,1,0,0,0,1,0
887,0,2,1,3,0,3,1,4
888,0,2,3,4,4,1,3,2
889,0,3,1,0,1,0,1,3
890,0,3,2,0,0,2,0,1
891,0,2,2,1,3,4,4,1
892,1,2,3,1,2,4,4,3
893,1,2,2,3,2,2,2,3
894,0,1,3,3,4,3,4,3
895,0,2,3,1,1,1,4,4
896,0,3,1,0,0,1,2,2
897,1,2,2,3,3,2,2,0
898,1,1,1,1,2,4,2,3
899,1,2,1,2,3,3,4,2
900,1,1,1,0,1,4,4,0
901,1,3,1,0,2,1,2,1
902,1,2,3,4,4,1,4,1
903,0,1,3,4,4,3,2,4
904,1,1,3,2,4,4,4,2
905,1,3,2,2,3,0,0,2
906,1,1,2,3,4,3,4,2
907,0,1,1,0,2,4,1,4
908,1,2,3,0,3,4,4,3
909,0,2,1,1,2,3,3,1
910,1,1,3,3,4,4,2,0
911,1,2,3,3,2,3,4,3
912,1,3,1,0,2,0,1,2
913,0,2,3,1,1,4,4,0
914,0,1,3,4,4,4,3,3
915,1,2,1,2,0,2,4,1
916,1,3,3,0,4,1,1,0
917,0,1,3,3,4,3,4,4
918,0,2,3,4,1,0,3,2
919,0,2,3,4,3,2,0,3
920,0,3,3,1,1,3,0,0
921,1,3,2,0,0,3,1,1
922,1,2,2,0,4,4,4,0
923,1,2,1,0,4,3,4,2
924,0,2,2,2,4,2,0,3
925,0,1,1,3,3,3,4,3
926,1,3,3,3,4,2,0,0
927,1,1,2,1,3,4,4,1
928,1,1,2,4,2,4,2,4
929,0,3,3,0,3,1,1,0
930,0,3,3,3,3,1,1,0
931,0,1,1,3,3,4,1,1
932,1,3,2,0,3,1,0,1
933,1,3,2,0,4,0,2,0
934,0,1,3,4,4,2,2,1
935,0,2,3,1,2,1,2,3
936,0,2,1,2,0,3,0,3
937,1,3,1,0,3,3,3,0
938,1,3,2,2,0,1,4,0
939,0,1,2,4,4,4,1,4
940,0,2,2,4,4,1,2,1
941,0,1,1,4,3,4,4,4
942,0,3,1,0,0,2,2,3
943,0,2,3,4,2,1,2,0
944,1,1,3,4,4,4,3,1
945,0,1,2,3,4,3,1,4
946,1,3,3,3,4,3,3,2
947,1,1,3,4,4,2,4,3
948,1,3,3,0,3,1,3,2
949,0,2,3,4,3,3,1,2
950,1,1,1,1,1,4,4,1
951,1,2,1,0,4,3,4,1
952,0,3,3,3,4,1,1,0
953,0,2,2,2,1,0,0,1
954,1,2,3,2,4,1,4,0
955,0,2,2,0,4,1,0,2
956,1,2,3,3,2,1,4,1
957,1,1,2,1,2,2,4,3
958,0,1,3,3,4,1,4,2
959,1,3,1,0,3,1,1,0
960,0,1,1,4,2,2,3,1
961,0,2,1,3,1,1,4,2
962,1,3,3,0,1,4,2,0
963,1,3,1,0,2,0,2,0
964,0,2,3,4,2,4,3,3
965,0,2,2,2,4,1,2,2
966,1,3,2,0,0,2,4,0
967,1,3,3,3,4,1,3,2
968,0,3,2,2,2,0,0,1
969,1,3,1,0,2,4,0,1
970,0,1,1,0,4,2,4,1
971,1,2,2,0,4,4,4,0
972,0,2,1,3,1,4,0,1
973,0,2,2,1,1,0,4,3
974,1,3,3,0,4,1,1,1
975,0,3,2,3,2,0,0,0
976,0,3,3,4,1,2,0,2
977,1,3,2,0,4,4,4,1
978,1,3,1,0,2,2,1,1
979,0,2,1,3,2,0,1,2
980,0,2,2,4,2,1,3,2
981,1,2,3,2,4,2,1,3
982,1,3,2,0,1,2,4,1
983,0,1,2,4,3,4,4,2
984,1,3,1,0,0,2,2,0
985,0,2,1,2,0,0,1,1
986,0,3,2,1,1,0,1,1
987,1,2,2,0,3,3,4,0
988,1,1,3,1,4,4,4,1
989,1,2,1,0,4,1,1,0
990,0,3,3,4,1,0,0,0
991,1,3,1,0,2,1,4,2
992,0,1,1,2,0,4,1,1
993,0,2,1,2,0,3,1,1
994,0,1,1,4,4,4,4,3
995,1,3,2,2,1,2,4,0
996,0,2,2,4,2,2,3,4
997,1,1,3,4,3,4,4,0
998,1,1,2,3,3,2,4,0
999,0,2,2,1,4,0,0,4
1000,0,3,3,4,4,2,3,0
